internal_player_id,draft_command_board_rank,canonical_player_id,gsis_id,espn_id,display_name,normalized_name,position,current_team,consensus_source_team,team_conflict_preserved,identity_method,identity_confidence,consensus_join_key,consensus_join_status
145,145,WAS569019,WAS569019,4686658,Mike Washington,mikewashington,RB,LV,LV,false,espn-id,1.0,mikewashington|RB,MATCHED_CANONICAL_NAME_POSITION
146,146,00-0038935,00-0038935,4430539,Brenton Strange,brentonstrange,TE,JAC,JAC,false,espn-id,1.0,brentonstrange|TE,MATCHED_CANONICAL_NAME_POSITION
147,147,00-0041496,00-0041496,4702555,Jonah Coleman,jonahcoleman,RB,DEN,DEN,false,espn-id,1.0,jonahcoleman|RB,MATCHED_CANONICAL_NAME_POSITION
148,148,00-0038128,00-0038128,4242512,Malik Willis,malikwillis,QB,MIA,MIA,false,espn-id,1.0,malikwillis|QB,MATCHED_CANONICAL_NAME_POSITION
149,149,00-0039855,00-0039855,4430834,Jalen McMillan,jalenmcmillan,WR,TB,TB,false,espn-id,1.0,jalenmcmillan|WR,MATCHED_CANONICAL_NAME_POSITION
150,150,00-0038555,00-0038555,4429013,Tank Bigsby,tankbigsby,RB,PHI,PHI,false,espn-id,1.0,tankbigsby|RB,MATCHED_CANONICAL_NAME_POSITION
151,151,00-0039811,00-0039811,4429023,MarShawn Lloyd,marshawnlloyd,RB,GB,GB,false,espn-id,1.0,marshawnlloyd|RB,MATCHED_CANONICAL_NAME_POSITION
152,152,00-0037746,00-0037746,4241474,Brian Robinson Jr.,brianrobinson,RB,ATL,ATL,false,espn-id,1.0,brianrobinson|RB,MATCHED_CANONICAL_NAME_POSITION
153,153,00-0033906,00-0033906,3054850,Alvin Kamara,alvinkamara,RB,NO,NO,false,espn-id,1.0,alvinkamara|RB,MATCHED_CANONICAL_NAME_POSITION
154,154,00-0038563,00-0038563,4428718,Tre Tucker,tretucker,WR,LV,LV,false,espn-id,1.0,tretucker|WR,MATCHED_CANONICAL_NAME_POSITION
155,155,00-0035710,00-0035710,3917792,Daniel Jones,danieljones,QB,IND,IND,false,espn-id,1.0,danieljones|QB,MATCHED_CANONICAL_NAME_POSITION
156,156,00-0037197,00-0037197,4361529,Isiah Pacheco,isiahpacheco,RB,DET,DET,false,espn-id,1.0,isiahpacheco|RB,MATCHED_CANONICAL_NAME_POSITION
157,157,00-0040737,00-0040737,4570037,Terrance Ferguson,terranceferguson,TE,LAR,LAR,false,espn-id,1.0,terranceferguson|TE,MATCHED_CANONICAL_NAME_POSITION
158,158,00-0041523,00-0041523,4869645,Caleb Douglas,calebdouglas,WR,MIA,MIA,false,espn-id,1.0,calebdouglas|WR,MATCHED_CANONICAL_NAME_POSITION
159,159,00-0040162,00-0040162,5081397,Dylan Sampson,dylansampson,RB,CLE,CLE,false,espn-id,1.0,dylansampson|RB,MATCHED_CANONICAL_NAME_POSITION
160,160,00-0034869,00-0034869,3912547,Sam Darnold,samdarnold,QB,SEA,SEA,false,espn-id,1.0,samdarnold|QB,MATCHED_CANONICAL_NAME_POSITION
161,161,00-0035229,00-0035229,4036133,T.J. Hockenson,tjhockenson,TE,MIN,MIN,false,espn-id,1.0,tjhockenson|TE,MATCHED_CANONICAL_NAME_POSITION
